ID_Client;Segment;Type_Client;Saison;Canal_reservation;Type_canal;Annulee;Mois_sejour;Sexe;Niveau_revenus;Pays;Province;Ville;Type_chambre;Numero_chambre;Nuits;Rev_Chambre;Tarif_applique;Rev_Banquet;Rev_Resto;Rev_Spa;Type_Forfait;Satisfaction_NPS;Total_Facture
AB-00011;Affaires_Solo;Interne;Haute;Courriel à l'hôtel;Direct;Non;5;F;Faible;Canada;Autre;Non spécifié;Classique;44;3;906.015;302.005;0.0;86.38167784058797;;Forfait Gastronomique;6.191792923010249;996.4006686965222
AB-00012;Loisirs_Couple;Interne;Haute;TripAdvisor;Intermediaire;Non;10;M;Moyen;Canada;Québec;Québec;Classique;26;2;604.01;302.005;0.0;81.21550768438263;144.38129534466358;Chambre Seule;8.149501641689376;876.385444865181
AB-00013;Congressiste;Interne;Basse;Booking.com;Intermediaire;Oui;4;F;Élevé;États-Unis;New York;Buffalo;Classique;25;0;0.0;302.005;0.0;0.0;0.0;Chambre Seule;;2.419622715660341
AB-00014;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;1;M;Faible;Canada;Québec;Laval;Classique;43;2;430.60999999999996;215.30499999999998;211.60548781086072;46.99660661477759;0.0;Chambre Seule;7.579355580226777;463.17346482967736
AB-00015;Loisirs_Couple;Interne;Haute;Booking.com;Intermediaire;Non;11;F;Faible;Autre;—;Non spécifié;Classique;33;4;1069.2999999999997;267.32499999999993;0.0;97.0539167788395;187.27585003155454;Forfait Gastronomique;8.620795781863464;1402.2687351726138
AB-00016;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;3;M;Faible;Canada;Québec;Gatineau;Suite exécutive;98;2;1611.4599999999998;805.7299999999999;0.0;68.5599246750565;154.46119513311004;Forfait Gastronomique;8.26141291988984;1882.0525955231954
AB-00017;Local_Spa;Externe;Haute;Site Web de l'hôtel;Direct;Non;6;F;Élevé;États-Unis;New York;Rochester;Classique;13;0;0.0;342.465;0.0;17.088403044844622;106.65877990393783;Chambre Seule;8.093415633995214;147.32534602110402
AB-00018;Local_Gourmet;Externe;Haute;Site Web de l'hôtel;Direct;Non;5;M;Faible;Europe;France;Marseille;Classique;54;0;0.0;302.005;0.0;149.90049847823772;0.0;Chambre Seule;4.851435436104896;168.03302165201427
AB-00019;Loisirs_Couple;Interne;Basse;Expedia;Intermediaire;Non;2;F;Élevé;États-Unis;California;Non spécifié;Classique;34;1;249.98499999999999;249.98499999999999;0.0;87.00828043861021;148.37202215193395;Forfait Gastronomique;9.065345374881684;529.4974965247733
AB-00020;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;10;M;Faible;Europe;France;Paris;Classique;35;3;906.015;302.005;0.0;99.65586075843808;249.457826038811;Forfait Gastronomique;9.250181113818432;1325.8085836713833
AB-00021;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;10;M;Faible;Canada;Ontario;Ottawa;Classique;14;0;0.0;302.005;0.0;171.4855150370817;5.465957901346561;Chambre Seule;6.861330069053229;210.39629950175595
AB-00022;Affaires_Solo;Interne;Basse;Courriel à l'hôtel;Direct;Non;12;M;Faible;Canada;Québec;Laval;Classique;32;2;404.59999999999997;202.29999999999998;0.0;75.87169870107499;0.0;Forfait Gastronomique;7.465199224731431;485.8011055663171
AB-00023;Local_Spa;Externe;Basse;Site Web de l'hôtel;Direct;Non;5;M;Moyen;Canada;Québec;Gatineau;Classique;54;0;0.0;302.005;0.0;0.0;139.34251042084205;Chambre Seule;9.375220033487212;181.8205455939739
AB-00024;Local_Spa;Externe;Haute;Site Web de l'hôtel;Direct;Non;12;M;Élevé;États-Unis;California;Non spécifié;Suite exécutive;100;0;0.0;572.5999999999999;0.0;10.313450090066725;86.33304756596635;Chambre Seule;6.04439328994478;109.33027507269509
AB-00025;Local_Gourmet;Externe;Basse;Expedia;Intermediaire;Oui;6;Autre;Moyen;Canada;Québec;Gatineau;deluxe;75;0;0.0;372.09;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00026;Congressiste;Interne;Haute;Booking.com;Intermediaire;Non;8;M;Faible;Europe;France;Paris;Classique;35;6;2158.83;359.80499999999995;153.743706381433;50.83351144910631;0.0;Chambre Seule;6.540899942894572;2215.8560884911153
AB-00027;Affaires_Solo;Interne;Basse;Site Web de l'hôtel;Direct;Non;2;M;Moyen;Europe;France;Lyon;Classique;11;1;249.98499999999999;249.98499999999999;0.0;47.81540399449274;15.291907221021697;Forfait Gastronomique;7.362124146967164;310.9514880070472
AB-00028;Affaires_Solo;Interne;Haute;Booking.com;Intermediaire;Oui;11;M;Élevé;Canada;Québec;Gatineau;Classique;30;0;0.0;267.32499999999993;0.0;0.0;0.0;Chambre Seule;;3.7569801834567196
AB-00029;Local_Gourmet;Externe;Haute;Site Web de l'hôtel;Direct;Non;4;F;Faible;États-Unis;Autre;Non spécifié;Classique;3;0;0.0;302.005;0.0;168.55799140492712;23.282002977904963;Chambre Seule;6.0960016559523345;209.67400751750827
AB-00030;Congressiste;Interne;Haute;Téléphone à l'hôtel;Direct;Oui;4;F;Faible;États-Unis;Autre;Non spécifié;Classique;21;0;0.0;302.005;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00031;Local_Gourmet;Externe;Basse;TripAdvisor;Intermediaire;Non;1;Autre;Moyen;États-Unis;California;Non spécifié;Classique;29;0;0.0;215.30499999999998;0.0;134.8940845819925;0.0;Chambre Seule;6.595701465327067;142.36642691789777
AB-00032;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;7;M;Moyen;Canada;Québec;Laval;Classique;31;2;661.8099999999998;330.9049999999999;0.0;65.96274176526416;24.38862817805898;Forfait Gastronomique;5.802126855928143;784.5970144183565
AB-00033;Local_Gourmet;Externe;Haute;Courriel à l'hôtel;Direct;Non;6;M;Élevé;Canada;Autre;Non spécifié;Classique;62;0;0.0;342.465;0.0;141.37486371878478;0.0;Forfait Gastronomique;5.8635368532887275;155.3773778432839
AB-00034;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;8;F;Faible;Canada;Québec;Montréal;Classique;34;3;1079.415;359.80499999999995;121.50768716494096;23.468280766547927;20.869885480760708;Chambre Seule;6.9604084688206544;1121.7838506786327
AB-00035;Affaires_Solo;Interne;Basse;TripAdvisor;Intermediaire;Non;12;F;Moyen;Canada;Québec;Gatineau;Classique;39;2;404.59999999999997;202.29999999999998;0.0;65.33810491792147;;Chambre Seule;7.4959245676066315;484.69736453074546
AB-00036;Loisirs_Couple;Interne;Haute;Trivago;Intermediaire;Non;11;M;Moyen;Canada;Québec;Montréal;Classique;53;3;801.9749999999998;267.32499999999993;0.0;78.63553258949267;204.3240883438947;Chambre Seule;8.738295312923645;1141.8869641957947
AB-00037;Local_Gourmet;Externe;Haute;Site Web de l'hôtel;Direct;Non;11;M;Moyen;Europe;Autre;Non spécifié;Suite senior;95;0;0.0;531.8749999999999;0.0;164.32071835012695;37.38585632208684;Forfait Gastronomique;6.070357822733183;231.4430393539001
AB-00038;Affaires_Solo;Interne;Haute;Téléphone à l'hôtel;Direct;Non;7;F;Moyen;Canada;Ontario;Toronto;deluxe;83;4;1438.1199999999997;359.5299999999999;0.0;66.08726253587976;84.30740634066683;Forfait Gastronomique;6.427578573202357;1600.8189157935365
AB-00039;Local_Gourmet;Externe;Haute;Booking.com;Intermediaire;Non;2;F;Moyen;Canada;Québec;Gatineau;deluxe;80;0;0.0;271.61;0.0;133.43296550878722;0.0;Chambre Seule;6.734214650688264;133.49440157068165
AB-00040;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;3;M;Faible;Autre;—;Non spécifié;Classique;5;0;0.0;284.66499999999996;0.0;148.90444642545458;0.0;Forfait Gastronomique;7.301326946064828;165.7635034266913
AB-00041;Affaires_Solo;Interne;Basse;Hotels.com;Intermediaire;Oui;12;F;Moyen;Canada;Ontario;Mississauga;Suite senior;95;0;0.0;402.5;0.0;0.0;0.0;Forfait Gastronomique;;7.384665799954105
AB-00042;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;6;M;Faible;États-Unis;California;Non spécifié;deluxe;81;1;372.09;372.09;0.0;98.76484911210957;202.58831226564607;Forfait Gastronomique;8.490810294908579;745.8098227805602
AB-00043;Local_Spa;Externe;Basse;Booking.com;Intermediaire;Non;11;F;Élevé;Canada;Ontario;Toronto;Suite senior;94;0;0.0;531.8749999999999;0.0;20.342005959118694;106.63958865816237;Forfait Gastronomique;9.883497449724134;159.85118898675924
AB-00044;Local_Gourmet;Externe;Haute;Expedia;Intermediaire;Oui;8;F;Faible;Canada;Ontario;Toronto;Classique;43;0;0.0;359.80499999999995;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00045;Local_Gourmet;Externe;Haute;Courriel à l'hôtel;Direct;Non;8;M;Faible;États-Unis;New York;Buffalo;Suite junior;86;0;0.0;525.39;0.0;123.08903032534195;;Forfait Gastronomique;5.197653733448283;120.61271345420188
AB-00046;Local_Spa;Externe;Basse;Trivago;Intermediaire;Non;4;M;Faible;Canada;Québec;Québec;Suite junior;88;0;0.0;440.98999999999995;0.0;33.38680310788208;114.69596445720934;Chambre Seule;9.664605605068;178.63179512909534
AB-00047;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;11;F;Moyen;États-Unis;California;Non spécifié;Classique;30;3;801.9749999999998;267.32499999999993;234.81778432490535;61.47723811863733;8.218777741492111;Chambre Seule;6.417962199160832;875.6779852848426
AB-00048;Affaires_Solo;Interne;Basse;Téléphone à l'hôtel;Direct;Non;3;M;Élevé;Canada;Québec;Gatineau;Classique;3;2;569.3299999999999;284.66499999999996;0.0;50.464316332193306;12.831685827833903;Chambre Seule;6.784061842218955;652.0931618037858
AB-00049;Local_Spa;Externe;Haute;Booking.com;Intermediaire;Non;6;M;Moyen;États-Unis;California;Non spécifié;Classique;18;0;0.0;342.465;0.0;21.747395888264727;144.21612476332223;Chambre Seule;8.480866339494241;214.83928056509473
AB-00050;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;12;F;Élevé;Europe;Autre;Non spécifié;Classique;48;3;606.9;202.29999999999998;182.93715675630514;39.102081361240174;31.8433405034889;Chambre Seule;8.024932159152272;673.6782305982724
AB-00051;Local_Gourmet;Externe;Haute;Courriel à l'hôtel;Direct;Non;9;F;Moyen;Canada;Québec;Montréal;Classique;57;0;0.0;319.34499999999997;0.0;144.74485192513885;0.0;Chambre Seule;5.89375969902878;162.4601768116007
AB-00052;Local_Gourmet;Externe;Basse;Trip.com;Intermediaire;Non;6;M;Faible;Canada;Ontario;Ottawa;Classique;39;0;0.0;342.465;0.0;156.2193229899978;0.0;Chambre Seule;7.250251417239674;167.99043248483443
AB-00053;Affaires_Solo;Interne;Basse;Site Web de l'hôtel;Direct;Non;7;M;Faible;Canada;Québec;Gatineau;Suite senior;93;5;3291.8749999999995;658.3749999999999;0.0;54.79553658354104;11.323408163337737;Chambre Seule;7.281137645990901;3360.101300851174
AB-00054;Affaires_Solo;Interne;Haute;Téléphone à l'hôtel;Direct;Oui;6;M;Faible;Canada;Québec;Laval;deluxe;68;0;0.0;372.09;0.0;0.0;0.0;Chambre Seule;;6.116762888408679
AB-00055;Loisirs_Couple;Interne;Basse;Site Web de l'hôtel;Direct;Non;9;M;Faible;Canada;Québec;Gatineau;Classique;23;1;319.34499999999997;319.34499999999997;0.0;77.01090364968083;185.3734707523689;Forfait Gastronomique;9.592475982053747;655.352501217688
AB-00056;Loisirs_Couple;Interne;Haute;TripAdvisor;Intermediaire;Non;6;M;Faible;Canada;Québec;Gatineau;Classique;15;1;342.465;342.465;0.0;43.59833120247676;156.42357978831845;Chambre Seule;8.155778402531432;603.0866192387003
AB-00057;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;8;F;Moyen;États-Unis;California;Non spécifié;Classique;31;4;1439.2199999999998;359.80499999999995;0.0;105.27125729586729;179.536229887209;Forfait Gastronomique;8.537694346553467;1780.0233066465992
AB-00058;Affaires_Solo;Interne;Haute;Booking.com;Intermediaire;Oui;9;F;Faible;États-Unis;Autre;Non spécifié;Classique;8;0;0.0;319.34499999999997;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00059;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;8;M;Élevé;Canada;Québec;Montréal;deluxe;66;2;781.8599999999999;390.92999999999995;61.05217673731354;46.084143778938476;61.58105281213216;Forfait Gastronomique;8.508896840160883;915.9205611266397
AB-00060;Congressiste;Interne;Basse;Booking.com;Intermediaire;Non;7;M;Faible;Canada;Québec;Montréal;Suite junior;89;1;483.18999999999994;483.18999999999994;286.09195452612664;50.427852162005024;8.495524104666094;Chambre Seule;7.5726275552202695;559.460269985495
AB-00061;Local_Gourmet;Externe;Basse;Site Web de l'hôtel;Direct;Non;3;M;Élevé;Autre;—;Non spécifié;Classique;7;0;0.0;284.66499999999996;0.0;149.8671573009977;19.1824209676601;Forfait Gastronomique;6.6359636828751585;184.9992779106027
AB-00062;Affaires_Solo;Interne;Basse;Booking.com;Intermediaire;Non;3;F;Élevé;Canada;Ontario;Mississauga;Classique;37;1;284.66499999999996;284.66499999999996;0.0;39.30373360510155;0.0;Forfait Gastronomique;7.470117543131193;326.0425171989735
AB-00063;Loisirs_Couple;Interne;Haute;Courriel à l'hôtel;Direct;Non;10;F;Élevé;Europe;Autre;Non spécifié;Classique;46;5;1510.025;302.005;0.0;93.91653540600647;159.95430391625766;Chambre Seule;8.361703124530608;1810.210434297682
AB-00064;Local_Gourmet;Externe;Haute;Expedia;Intermediaire;Oui;4;F;Élevé;Canada;Ontario;Mississauga;Classique;44;0;0.0;302.005;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00065;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;8;M;Faible;États-Unis;New York;New York;Classique;5;5;1799.0249999999996;359.80499999999995;833.5958734227626;55.563427688404865;54.76139064524946;Chambre Seule;7.567426710359816;1939.459836520011
AB-00066;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;4;M;Faible;Autre;—;Non spécifié;Classique;20;2;604.01;302.005;0.0;62.17034614764761;165.8425567599307;Forfait Gastronomique;8.92436253541211;901.5551048360305
AB-00067;Congressiste;Interne;Haute;Booking.com;Intermediaire;Oui;2;M;Élevé;Canada;Québec;Montréal;Classique;4;0;0.0;249.98499999999999;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00068;Affaires_Solo;Interne;Basse;Courriel à l'hôtel;Direct;Non;6;M;Élevé;Canada;Ontario;Mississauga;Classique;48;1;342.465;342.465;0.0;61.79372457157754;0.0;Chambre Seule;7.82357531968177;420.4734260076555
AB-00069;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;4;F;Élevé;Canada;Ontario;Ottawa;Classique;28;2;604.01;302.005;0.0;32.088058240809616;1.714074370150683;Forfait Gastronomique;6.292427606054456;645.1515209965627
AB-00070;Congressiste;Interne;Basse;TripAdvisor;Intermediaire;Non;4;F;Élevé;Canada;Québec;Québec;Classique;47;1;302.005;302.005;127.40189752334119;53.524663751433266;15.51370539904338;Chambre Seule;7.057824833607947;374.5987495992818
AB-00071;Loisirs_Couple;Interne;Haute;Airbnb;Intermediaire;Non;8;F;Moyen;États-Unis;California;Non spécifié;Suite exécutive;97;4;4073.6399999999994;1018.4099999999999;0.0;77.10312721646486;170.29339002558464;Forfait Gastronomique;8.51250649094068;4383.448803026455
AB-00072;Local_Spa;Externe;Haute;TripAdvisor;Intermediaire;Non;4;M;Faible;Europe;Autre;Non spécifié;Classique;64;0;0.0;302.005;0.0;4.060777271080724;111.08137435579515;Forfait Gastronomique;8.186346227914441;164.2530073253822
AB-00073;Loisirs_Couple;Interne;Haute;Booking.com;Intermediaire;Non;9;M;Faible;États-Unis;Autre;Non spécifié;Classique;57;4;1277.3799999999999;319.34499999999997;0.0;90.01019237361137;206.09651527296646;Forfait Gastronomique;9.545736225265829;1643.9584210747294
AB-00074;Affaires_Solo;Interne;Haute;Téléphone à l'hôtel;Direct;Non;9;F;Moyen;États-Unis;New York;Rochester;Classique;25;1;319.34499999999997;319.34499999999997;0.0;69.47606690402452;34.09716311042763;Chambre Seule;5.940715992877743;455.7414221961229
AB-00075;Affaires_Solo;Interne;Basse;Autre OTA;Intermediaire;Non;9;F;Moyen;Canada;Québec;Québec;Classique;64;2;638.6899999999999;319.34499999999997;0.0;105.70492889284799;0.0;Chambre Seule;7.215246070101887;728.7679707412352
AB-00076;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;2;M;Moyen;États-Unis;Autre;Non spécifié;Classique;53;0;0.0;249.98499999999999;0.0;146.2943990922809;0.0;Chambre Seule;6.754908071430781;169.14286404526123
AB-00077;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;12;M;Faible;Canada;Ontario;Ottawa;Classique;12;2;404.59999999999997;202.29999999999998;744.9866465796096;54.394948181104155;7.424616830829652;Chambre Seule;6.791024354707391;474.9569155616748
AB-00078;Local_Spa;Externe;Haute;Site Web de l'hôtel;Direct;Non;7;F;Élevé;États-Unis;New York;Rochester;Suite senior;94;0;0.0;658.3749999999999;0.0;24.508871306225778;;Forfait Gastronomique;8.618890674857534;191.22925174084136
AB-00079;Affaires_Solo;Interne;Haute;Courriel à l'hôtel;Direct;Non;11;M;Élevé;Canada;Ontario;Toronto;Classique;11;1;267.32499999999993;267.32499999999993;0.0;47.75955501158717;5.806342429025089;Chambre Seule;6.5495815098238594;328.3263634358334
AB-00080;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;3;M;Élevé;Canada;Québec;Gatineau;Classique;64;4;1138.6599999999999;284.66499999999996;0.0;85.27530451937626;162.14121454934082;Forfait Gastronomique;8.542112990508134;1423.370724739448
AB-00081;Local_Gourmet;Externe;Basse;Site Web de l'hôtel;Direct;Non;8;F;Élevé;Canada;Québec;Gatineau;Classique;12;0;0.0;359.80499999999995;0.0;183.5839412006056;;Chambre Seule;7.9391589745159985;215.14518637192415
AB-00082;Loisirs_Couple;Interne;Haute;Booking.com;Intermediaire;Non;12;M;Moyen;Canada;Québec;Laval;Classique;60;4;809.1999999999999;202.29999999999998;0.0;58.556537050352325;196.41384021584574;Forfait Gastronomique;9.133079084400588;1132.5213087511045
AB-00083;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;12;M;Moyen;Canada;Ontario;Ottawa;Classique;33;1;202.29999999999998;202.29999999999998;0.0;62.45572993590821;199.6771150935613;Forfait Gastronomique;8.665325296783559;545.3604929985439
AB-00084;Local_Spa;Externe;Basse;Trip.com;Intermediaire;Non;1;M;Faible;Canada;Ontario;Ottawa;Classique;44;0;0.0;215.30499999999998;0.0;40.85472042213327;99.48294204120724;Forfait Gastronomique;8.574796031102863;169.08531493517955
AB-00085;Congressiste;Interne;Basse;Autre OTA;Intermediaire;Oui;6;F;Faible;Canada;Québec;Québec;Classique;33;0;0.0;342.465;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00086;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;4;F;Faible;États-Unis;Autre;Non spécifié;Classique;24;1;302.005;302.005;0.0;97.34077032639779;190.31952317341245;Forfait Gastronomique;9.654749693542353;651.4776570486283
AB-00087;Congressiste;Interne;Haute;Hotels.com;Intermediaire;Oui;1;M;Élevé;États-Unis;Autre;Non spécifié;Classique;18;0;0.0;215.30499999999998;0.0;0.0;0.0;Chambre Seule;;9.154021177020741
AB-00088;Affaires_Solo;Interne;Haute;Trivago;Intermediaire;Non;7;M;Moyen;Canada;Québec;Québec;Classique;8;1;330.9049999999999;330.9049999999999;0.0;74.79708287990081;47.41982456634869;Chambre Seule;6.307829220480462;478.115074200741
AB-00089;Local_Gourmet;Externe;Basse;Site Web de l'hôtel;Direct;Oui;1;F;Élevé;États-Unis;New York;New York;Classique;18;0;0.0;215.30499999999998;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00090;Local_Spa;Externe;Basse;Expedia;Intermediaire;Non;8;F;Faible;Europe;France;Paris;Classique;31;0;0.0;359.80499999999995;0.0;15.583013911948331;101.15659589106276;Chambre Seule;10.0;153.77756429265833
AB-00091;Local_Spa;Externe;Haute;Téléphone à l'hôtel;Direct;Non;11;M;Élevé;États-Unis;Autre;Non spécifié;Classique;6;0;0.0;267.32499999999993;0.0;3.9887402667405816;99.60474287586405;Forfait Gastronomique;5.585555336092063;134.8445555255183
AB-00092;Congressiste;Interne;Basse;Booking.com;Intermediaire;Non;11;Autre;Faible;Europe;France;Paris;Suite junior;89;2;780.6999999999998;390.3499999999999;313.8194392704196;51.14073554669958;30.234549267165846;Chambre Seule;8.049087474742086;885.9461730540139
AB-00093;Loisirs_Couple;Interne;Haute;Trip.com;Intermediaire;Non;12;F;Élevé;Canada;Québec;Laval;Classique;34;2;404.59999999999997;202.29999999999998;0.0;89.68328006645592;248.36055397654354;Forfait Gastronomique;9.562869853116194;819.0997973038346
AB-00094;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;9;M;Faible;États-Unis;California;Non spécifié;Classique;4;2;638.6899999999999;319.34499999999997;358.13432378566404;56.26201225977011;0.0;Chambre Seule;7.158571883200861;697.3015920197694
AB-00095;Local_Spa;Externe;Basse;Courriel à l'hôtel;Direct;Non;3;F;Élevé;Canada;Québec;Laval;Classique;57;0;0.0;284.66499999999996;0.0;0.7239350348999771;132.06181038107962;Chambre Seule;9.795631443636918;168.55560050247192
AB-00096;Local_Gourmet;Externe;Haute;Courriel à l'hôtel;Direct;Non;6;M;Faible;États-Unis;California;Non spécifié;deluxe;67;0;0.0;372.09;0.0;145.9776698641347;17.850012352302297;Forfait Gastronomique;5.009153835136841;169.14530342722
AB-00097;Loisirs_Couple;Interne;Basse;Site Web de l'hôtel;Direct;Non;11;M;Faible;Autre;—;Non spécifié;Classique;39;2;534.6499999999999;267.32499999999993;0.0;88.5182772423238;178.1792771835782;Forfait Gastronomique;10.0;866.6143680758535
AB-00098;Local_Gourmet;Externe;Haute;Booking.com;Intermediaire;Non;4;F;Faible;Canada;Ontario;Mississauga;Classique;3;0;0.0;302.005;0.0;134.7577130747687;0.0;Forfait Gastronomique;5.986631844189668;150.84403710404447
AB-00099;Affaires_Solo;Interne;Haute;Hotels.com;Intermediaire;Non;6;F;Moyen;États-Unis;California;Non spécifié;deluxe;75;3;1116.27;372.09;0.0;51.96273086279362;21.409969858086807;Forfait Gastronomique;6.780748204021898;1201.3130993310106
AB-00100;Affaires_Solo;Interne;Basse;Hotels.com;Intermediaire;Oui;8;M;Élevé;Canada;Québec;Laval;Classique;53;0;0.0;359.80499999999995;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00101;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;2;M;Moyen;Canada;Ontario;Mississauga;deluxe;79;4;1086.44;271.61;0.0;83.85368739434367;148.8565305322003;Forfait Gastronomique;8.173958401177414;1358.0388384051341
AB-00102;Loisirs_Couple;Interne;Haute;Google;Intermediaire;Non;6;M;Faible;Autre;—;Non spécifié;Suite senior;92;2;1362.7499999999998;681.3749999999999;0.0;83.11725666532128;189.63293449322092;Forfait Gastronomique;8.47398934528999;1696.4953439453868
AB-00103;Local_Gourmet;Externe;Haute;Courriel à l'hôtel;Direct;Non;1;F;Élevé;États-Unis;New York;Buffalo;Suite senior;94;0;0.0;428.37499999999994;0.0;134.0905661483796;3.843127648638198;Forfait Gastronomique;5.599151201487887;149.06854354117954
AB-00104;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;4;F;Faible;Europe;Autre;Non spécifié;Classique;34;2;604.01;302.005;348.5897751038584;24.426534639048786;21.81117894151133;Chambre Seule;8.003882108558292;651.2109480347021
AB-00105;Loisirs_Couple;Interne;Haute;Autre OTA;Intermediaire;Oui;9;M;Élevé;Canada;Québec;Laval;Classique;60;0;0.0;319.34499999999997;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00106;Affaires_Solo;Interne;Basse;Autre OTA;Intermediaire;Non;9;M;Élevé;Canada;Ontario;Toronto;Classique;16;5;1596.725;319.34499999999997;0.0;79.19157379375929;0.0;Forfait Gastronomique;7.472451113263637;1687.8762397412806
AB-00107;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;12;F;Moyen;États-Unis;New York;New York;Classique;3;3;606.9;202.29999999999998;832.6395393914662;54.270634809755876;12.84464877280522;Chambre Seule;7.183416277005932;702.1576007074835
AB-00108;Affaires_Solo;Interne;Basse;Autre OTA;Intermediaire;Non;10;M;Élevé;États-Unis;New York;Rochester;Classique;44;1;302.005;302.005;0.0;69.27085835350886;96.31828726636802;Chambre Seule;8.616184446033557;505.16249576345655
